,LOVELACE,PASCAL,TURING,BABBAGE,BDE,CAFET,BU,Maintenance Logistique,Salle du personnel (004),Association des élèves (002),Association des élèves (BDS) (003),Toilettes Femme BU,Toilettes Homme BU,Hall d'entrée,Escalier Hall d'entrée,Escalier BDE,Escalier côté bibliothéque,Escalier côté Pascal,Ascenseur 0,Escalier bas pont,noeud central entree,BDA,BOOLE,SHANNON,VON NEUMAN,CHAINE PRODUCTION,WINDOWS A,WINDOWS B,MUNDUS(112),Bureau Directeur de Polytech Tours (Néron) (106),Antenne financière(108),Salle intervenant(109),Archive(107),Secrétariat (104),Bureau Directeur Département Informatique(103),Bureau responsable administrative (105),Secrétariat Laboratoire informatique(102),Directeur Laboratoire informatique(101) Billaut,scolarite DI,S 110,S 111,Toilettes Femme salle reunion,Toilettes Homme salle reunion,Escalier scolarite DI,Escalier chaîne de production,Escalier côté bibliothèque 1,Escalier haut pont,113 Administration bureau,Secrétariat  scolarite (127),Escalier windows A,Toilette Homme WINDOWS A,Toilette Femme WINDOWS A,Ascenseur 1,S 228-229,TP SYSTEME,UNIX A (230),UNIX B (231),MEZZANINE,Toilettes Femme UNIX A,Toilettes Homme UNIX A,Escalier côté bibliothéque 2,Escalier chaîne de production 2,Escalier UNIX B,service info Rousseau Meichel Beaufils (217),reserve,Lente Darwiche Martineau (209),Conte Barrat Cherni (208),T'KINDT Raveau Shang (207),Ragot Cardot Hidane (211),Makris Ramel Brouard (206),Delalandre Mille Olivier (212),Soukhal Martineau Mendoza (205),Froger Haykal llosa (213),Venturini Serres (204),Rolland esswein Tacquard (214),Bocquillon Kergosien Giret (203),Maurel Kergosien Gupta Abid (215),Guengill Galbot Noumen Zahout Boas(201),Bureau doctorants(202),Reconnaisance des formes et analyse d'images(223),Ordonnancement et conduite(222),Fouille visuelle de données et algorithmes biomimétiques - FOVEA (220),Ascenseur 2,Toilette Femme Escalier BU,Toilette Homme Escalier BU,salle de visio-enseignement (216)
LOVELACE,,,,,,31,,,,,,7,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASCAL,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURING,,,,9,,8,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BABBAGE,,,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDE,,,,2,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFET,31,,8,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU,,,,,,,,,,,,5,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maintenance Logistique,,,,,,,,,,,,,,,7,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salle du personnel (004),,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association des élèves (002),,,,,,,,,4,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association des élèves (BDS) (003),,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toilettes Femme BU,7,,,,,,5,,,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toilettes Homme BU,,,,,,,,,,7,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hall d'entrée,,,,,,,,,,,,,,,9,12,,,,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escalier Hall d'entrée,,,,,,,,7,,,,,,9,,,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escalier BDE,,,,,4,,,,,,,,,12,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escalier côté bibliothèque,,,,,,,7,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escalier côté Pascal,,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ascenseur 0,,,,,,,,10,,,,,,,7,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Escalier bas pont,,,,,,,,,,,,,,6,4,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noeud central entree,27,,,,,14,,,,,,,,13,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDA,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOLE,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHANNON,,,,,,,,,,,,,,,,,,,,,,2,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VON NEUMAN,,,,,,,,,,,,,,,,,,,,,,,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAINE PRODUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINDOWS A,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINDOWS B,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUNDUS(112),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau Directeur de Polytech Tours (Néron) (106),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antenne financiere(108),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salle intervenant(109),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,9,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archive(107),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secrétariat (104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau Directeur Département Informatique(103),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau responsable administrative (105),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secrétariat Laboratoire informatique(102),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Directeur Laboratoire informatique(101) Billaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scolarite DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,15,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S 110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toilettes Femme salle reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,4,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toilettes Homme salle reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,10,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escalier scolarite DI,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,17,,,,,,,7,,,,,,,,,,,,,,5,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,
Escalier chaîne de production,,,,,,,,,,,,,,,,,,34,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,
Escalier côté bibliothèque 1,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,8,,,,,,,,,,,,4,6,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,
Escalier haut pont,,,,,,,,,,,,,,,,,,,,27,,,6,,,,,,,,,,,,,,,,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113 Administration bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,10,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secrétariat  scolarite (127),,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,15,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escalier windows A,,,,,,,,,,,,,,,,22,,,,,,3,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toilette Homme WINDOWS A,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toilette Femme WINDOWS A,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,10,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ascenseur 1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,5,,,,,5,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
S 228-229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,10,,,,,,,,,,,,,,,,,,,,,,,,
TP SYSTEME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,13,,,,,,
UNIX A (230),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIX B (231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
MEZZANINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Toilettes Femme UNIX A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toilettes Homme UNIX A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escalier côté bibliothèque 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,5,,
Escalier chaîne de production 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,10,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escalier UNIX B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,5,,,
service info Rousseau Meichel Beaufils (217),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,
Lente Darwiche Martineau (209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,4,,,,,,,,,,,,,,,,,,,
Conte Barrat Cherni (208),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,5,,,,,,,,,,,,,,,,,,
T'KINDT Raveau Shang (207),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,2,,,,,,,,,,,,,,,,
Ragot Cardot Hidane (211),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,
Makris Ramel Brouard (206),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,4,,,,,,,,,,,,,,,
Delalandre Mille Olivier (212),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,,,,,,,,,,,,,
Soukhal Martineau Mendoza (205),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,2,,,,,,,,,,,,
Froger Haykal llosa (213),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,4,,,,,,,,,,,
Venturini Serres (204),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,4,,,,,,,,,,,
Rolland esswein Tacquard (214),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,2,,,,,,,,,,
Bocquillon Kergosien Giret (203),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,3,,,,,,,
Maurel Kergosien Gupta Abid (215),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,
Guengill Galbot Noumen Zahout Boas(201),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,6,,,,,,,
Bureau doctorants(202),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,6,,,,,,,,
Reconnaisance des formes et analyse d'images(223),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,
Ordonnancement et conduite(222),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,10,,,,
Fouille visuelle de données et algorithmes biomimétiques - FOVEA (220),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,10,,
Ascenseur 2,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
Toilette Femme Escalier BU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,10,,,5,
Toilette Homme Escalier BU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,7
salle de visio-enseignement (216),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,7,